filename;Attributes;AttributesPublic;AttributesStatic;Classes;Comments/Loc;EmptyCatches;EmptyOrNoCatch;F-Args;F-GodFnRloc;F-Mccc;F-Mccc-1/F-RLoc;F-Nl;F-RLoc;F-RLoc10+;F-RLoc100+;F-RLoc20+;F-RLoc200+;F-RLoc50+;FriendClasses;Functions;FunctionsUncommented;Hacks;IsGenerated;Lines140+;Loc;Loc Comment;Loc Outcommented;Mccc;Nl;Nl0+;Nl1+;Nl1+%;Nl1+Mean;Nl10+;Nl10+%;Nl10+Mean;Nl2+;Nl2+%;Nl2+Mean;Nl3+;Nl3+%;Nl3+Mean;Nl4+;Nl4+%;Nl4+Mean;Nl5+;Nl5+%;Nl5+Mean;Nl6+;Nl6+%;Nl6+Mean;Nl7+;Nl7+%;Nl7+Mean;Nl8+;Nl8+%;Nl8+Mean;Nl9+;Nl9+%;Nl9+Mean;NlMean;RLoc;Templates;Todos;Try-Nl;Trys;Trys w/o catch;Uncommented Complexity
source/cpplocate/source/cpplocate.cpp;0;0;0;0;0.135678392;0;0;3;;10;0.4;2;40;5;0;3;0;0;0;9;2;0;;0;398;54;0;33;2;125;60;0.48;1.2333333333;0;0;0;14;0.112;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.592;138;0;0;0;0;0;0
source/cpplocate/source/ModuleInfo.cpp;0;0;0;0;0.0062111801;0;0;2;;4;0.5;2;18;1;0;0;0;0;0;18;0;0;;0;161;1;0;12;2;42;12;0.2857142857;1.0833333333;0;0;0;1;0.0238095238;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3095238095;63;0;0;0;0;0;0
source/cpplocate/source/utils.cpp;0;0;0;0;0.0368852459;0;0;3;;5;0.5714285714;2;20;2;0;1;0;0;0;15;0;0;;0;244;9;0;17;2;76;28;0.3684210526;1.3928571429;0;0;0;11;0.1447368421;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5131578947;98;0;0;0;0;0;0
source/cpplocate/include/cpplocate/ModuleInfo.h;2;1;0;1;0.7156398104;0;0;;;;;;;0;0;0;0;0;0;0;0;0;;0;211;151;0;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0
source/cpplocate/include/cpplocate/utils.h;0;0;0;0;0.768558952;0;0;;;;;;;0;0;0;0;0;0;0;0;0;;0;229;176;0;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0
source/cpplocate/include/cpplocate/cpplocate.h;0;0;0;0;0.7786259542;0;0;;;;;;;0;0;0;0;0;0;0;0;0;;0;131;102;0;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0
source/tests/googletest/travis.sh;;;;;;;;;;;;;;;;;;;;;;0;;0;15;1;0;3;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;;0;;;;2
source/tests/googletest/googletest/codegear/gtest_link.cc;0;0;0;0;0.925;0;0;;;;;;;0;0;0;0;0;0;0;0;0;;0;40;37;0;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
source/tests/googletest/googletest/codegear/gtest_all.cc;0;0;0;0;0.9473684211;0;0;;;;;;;0;0;0;0;0;0;0;0;0;;0;38;36;0;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
source/tests/googletest/googletest/test/gtest_test_utils.py;;;;1;;;;;;;;;;;;;;;;11;;0;;0;320;123;0;28;3;133;72;0.5413533835;1.5555555556;0;0;0;31;0.2330827068;2.2903225807;9;0.0676691729;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8421052632;133;;1;;;;0
